
> my-project@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.30.251:3000
- Environments: .env
✓ Ready in 993ms

○ Compiling /kontak ...
 GET /api/records/access-permissions 200 in 131ms (next.js: 32ms, proxy.ts: 86ms, application-code: 13ms)
 GET /api/records/admin-inbox 200 in 30ms (next.js: 9ms, proxy.ts: 8ms, application-code: 13ms)
 GET /api/records/admin-inbox 200 in 54ms (next.js: 33ms, proxy.ts: 8ms, application-code: 14ms)
 PATCH /api/records/admin-inbox/inbox-1778777408271 200 in 1417ms (next.js: 1346ms, proxy.ts: 23ms, application-code: 47ms)
 PATCH /api/records/admin-inbox/inbox-1779291672024 200 in 1421ms (next.js: 1349ms, proxy.ts: 24ms, application-code: 49ms)
 PATCH /api/records/admin-inbox/inbox-1779291620403 200 in 1422ms (next.js: 1347ms, proxy.ts: 24ms, application-code: 51ms)
 PATCH /api/records/admin-inbox/inbox-1779291672024 200 in 666ms (next.js: 177ms, proxy.ts: 297ms, application-code: 192ms)
 PATCH /api/records/admin-inbox/inbox-1779291620403 200 in 700ms (next.js: 232ms, proxy.ts: 297ms, application-code: 171ms)
 PATCH /api/records/admin-inbox/inbox-1778777408271 200 in 703ms (next.js: 234ms, proxy.ts: 304ms, application-code: 165ms)
 PATCH /api/records/activity-log/log-1779292287433 200 in 698ms (next.js: 235ms, proxy.ts: 300ms, application-code: 163ms)
 PATCH /api/records/activity-log/log-1779282735079 200 in 658ms (next.js: 246ms, proxy.ts: 258ms, application-code: 153ms)
 PATCH /api/records/activity-log/log-1779291378921 200 in 701ms (next.js: 254ms, proxy.ts: 265ms, application-code: 182ms)
 PATCH /api/records/activity-log/log-1779285728860 200 in 334ms (next.js: 86ms, proxy.ts: 61ms, application-code: 187ms)
 PATCH /api/records/activity-log/log-1779282666996 200 in 330ms (next.js: 115ms, proxy.ts: 49ms, application-code: 166ms)
 PATCH /api/records/activity-log/log-1779282664317 200 in 330ms (next.js: 186ms, proxy.ts: 47ms, application-code: 97ms)
 PATCH /api/records/activity-log/log-1779282247912 200 in 334ms (next.js: 208ms, proxy.ts: 47ms, application-code: 79ms)
 PATCH /api/records/activity-log/log-1779281343600 200 in 336ms (next.js: 218ms, proxy.ts: 42ms, application-code: 77ms)
 PATCH /api/records/activity-log/log-1779281263513 200 in 347ms (next.js: 239ms, proxy.ts: 40ms, application-code: 68ms)
 PATCH /api/records/activity-log/log-1779281120167 200 in 945ms (next.js: 741ms, proxy.ts: 60ms, application-code: 144ms)
 PATCH /api/records/activity-log/log-1779281143214 200 in 1025ms (next.js: 770ms, proxy.ts: 58ms, application-code: 196ms)
 PATCH /api/records/activity-log/log-1779281125322 200 in 1069ms (next.js: 806ms, proxy.ts: 55ms, application-code: 207ms)
 PATCH /api/records/activity-log/log-1779281193794 200 in 1158ms (next.js: 830ms, proxy.ts: 55ms, application-code: 274ms)
 PATCH /api/records/activity-log/log-1779281124353 200 in 1387ms (next.js: 844ms, proxy.ts: 55ms, application-code: 488ms)
 PATCH /api/records/activity-log/log-1779281147282 200 in 1639ms (next.js: 865ms, proxy.ts: 51ms, application-code: 723ms)
 PATCH /api/records/activity-log/log-1779281038971 200 in 655ms (next.js: 227ms, proxy.ts: 309ms, application-code: 119ms)
 PATCH /api/records/activity-log/log-1779281121163 200 in 634ms (next.js: 234ms, proxy.ts: 282ms, application-code: 119ms)
 PATCH /api/records/activity-log/log-1779281122078 200 in 579ms (next.js: 228ms, proxy.ts: 227ms, application-code: 123ms)
 PATCH /api/records/activity-log/log-1779280993781 200 in 617ms (next.js: 234ms, proxy.ts: 216ms, application-code: 167ms)
 PATCH /api/records/activity-log/log-1779280966948 200 in 675ms (next.js: 267ms, proxy.ts: 210ms, application-code: 198ms)
 PATCH /api/records/activity-log/log-1779281116865 200 in 582ms (next.js: 308ms, proxy.ts: 111ms, application-code: 163ms)
 PATCH /api/records/activity-log/log-1779280957037 200 in 277ms (next.js: 59ms, proxy.ts: 106ms, application-code: 112ms)
 PATCH /api/records/activity-log/log-1779280669364 200 in 288ms (next.js: 73ms, proxy.ts: 112ms, application-code: 103ms)
 PATCH /api/records/activity-log/log-1779280729310 200 in 279ms (next.js: 111ms, proxy.ts: 104ms, application-code: 64ms)
 PATCH /api/records/activity-log/log-1779281208186 200 in 273ms (next.js: 124ms, proxy.ts: 100ms, application-code: 48ms)
 PATCH /api/records/activity-log/log-1779281487314 200 in 277ms (next.js: 146ms, proxy.ts: 90ms, application-code: 40ms)
 PATCH /api/records/activity-log/log-1779281522277 200 in 238ms (next.js: 159ms, proxy.ts: 50ms, application-code: 29ms)
 PATCH /api/records/activity-log/log-1779282077309 200 in 247ms (next.js: 75ms, proxy.ts: 77ms, application-code: 95ms)
 PATCH /api/records/activity-log/log-1779287728484 200 in 250ms (next.js: 84ms, proxy.ts: 78ms, application-code: 88ms)
 PATCH /api/records/activity-log/log-1779286506419 200 in 254ms (next.js: 116ms, proxy.ts: 80ms, application-code: 58ms)
 PATCH /api/records/activity-log/log-1779285774442 200 in 257ms (next.js: 127ms, proxy.ts: 87ms, application-code: 43ms)
 PATCH /api/records/activity-log/log-1779283224229 200 in 270ms (next.js: 137ms, proxy.ts: 83ms, application-code: 50ms)
 PATCH /api/records/activity-log/log-1779283390065 200 in 252ms (next.js: 142ms, proxy.ts: 74ms, application-code: 35ms)
 PATCH /api/records/activity-log/log-1779283071647 200 in 148ms (next.js: 50ms, proxy.ts: 50ms, application-code: 48ms)
 PATCH /api/records/activity-log/log-1779282951357 200 in 153ms (next.js: 59ms, proxy.ts: 49ms, application-code: 45ms)
 PATCH /api/records/activity-log/log-1779282603798 200 in 158ms (next.js: 70ms, proxy.ts: 47ms, application-code: 41ms)
 PATCH /api/records/activity-log/log-1779282173377 200 in 159ms (next.js: 75ms, proxy.ts: 47ms, application-code: 37ms)
 PATCH /api/records/activity-log/log-1779282192013 200 in 202ms (next.js: 91ms, proxy.ts: 39ms, application-code: 73ms)
